model_specification,horizon,dependent_variable,sample_size,event_count,r_squared,adjusted_r_squared,covariance_estimator,sample_label,status,term,coefficient,standard_error,ci_lower,ci_upper,p_value_context_only
targeted_shock_quadratic,5,peer_car,173,173,0.014115138412987505,-0.02151925417449485,HC3,adequate_analysis_sample,estimated_confirmatory,const,0.003099918746053743,0.014926272363982368,-0.02615503751078723,0.03235487500289472,0.8354772392121139
targeted_shock_quadratic,5,peer_car,173,173,0.014115138412987505,-0.02151925417449485,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,-0.0009145849769097562,0.0040645597416621255,-0.008880975683578948,0.0070518057297594364,0.8219679751953226
targeted_shock_quadratic,5,peer_car,173,173,0.014115138412987505,-0.02151925417449485,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.001083292903900617,0.004761380952320186,-0.010415428087123207,0.008248842279321973,0.8200221119930367
targeted_shock_quadratic,5,peer_car,173,173,0.014115138412987505,-0.02151925417449485,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,0.016080996367387364,0.022106477756567572,-0.027246903860520887,0.059408896595295614,0.4669603313943601
targeted_shock_quadratic,5,peer_car,173,173,0.014115138412987505,-0.02151925417449485,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,-0.004264298118814475,0.006869472814383011,-0.017728217427782182,0.00919962119015323,0.5347571453324103
targeted_shock_quadratic,5,peer_car,173,173,0.014115138412987505,-0.02151925417449485,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.004952381454045897,0.0047594372653021475,-0.004375944172624118,0.014280707080715912,0.2980894218530573
targeted_shock_quadratic,5,peer_car,173,173,0.014115138412987505,-0.02151925417449485,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitudeSquared,3.2952501561999174e-05,0.00034376749229405435,-0.000640819402389998,0.0007067244055139962,0.9236341900573474
primary_linear,5,convergence,173,173,0.013736789005832861,-0.015792049646687012,HC3,adequate_analysis_sample,estimated_confirmatory,const,0.003275836546322972,0.012355282800701108,-0.020940072761858372,0.027491745854504313,0.7909043035260009
primary_linear,5,convergence,173,173,0.013736789005832861,-0.015792049646687012,HC3,adequate_analysis_sample,estimated_confirmatory,EquipmentIndicator,-0.002334961176404468,0.007392354493444307,-0.016823709744508145,0.01215378739169921,0.7521075330909346
primary_linear,5,convergence,173,173,0.013736789005832861,-0.015792049646687012,HC3,adequate_analysis_sample,estimated_confirmatory,ShockMagnitude,-0.00029212318881358817,0.0019455355823738455,-0.004105302860907485,0.003521056483280309,0.8806458587140743
primary_linear,5,convergence,173,173,0.013736789005832861,-0.015792049646687012,HC3,adequate_analysis_sample,estimated_confirmatory,SectorMomentum,-0.05106104190451981,0.05038510973267471,-0.1498140423376608,0.04769195852862118,0.31086182670811957
primary_linear,5,convergence,173,173,0.013736789005832861,-0.015792049646687012,HC3,adequate_analysis_sample,estimated_confirmatory,VolumeMeasure,0.0016161248129699067,0.013286810124539404,-0.024425544500549477,0.02765779412648929,0.9031890670848164
primary_linear,5,convergence,173,173,0.013736789005832861,-0.015792049646687012,HC3,adequate_analysis_sample,estimated_confirmatory,EventDirection,0.004893218927378965,0.008272904827917987,-0.011321376582867823,0.02110781443762575,0.5542019950816
