null_iteration,horizon,return_specification,peer_definition,outcome,statistic,sample_size,detected_event_count
16,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0014883928507202658,74,226
16,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00035443648191974415,74,226
16,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0011339563688005216,74,226
16,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0016333212430557208,24,226
16,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.001947725207980178,24,226
16,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0035810464510358984,24,226
17,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.002997623814260288,172,223
17,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00010259262858528184,172,223
17,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0028950311856750064,172,223
17,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0026601100351128265,111,223
17,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.00033561433711841416,111,223
17,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0023244956979944103,111,223
17,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.005040167550559797,68,223
17,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.003164213510589691,68,223
17,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.001875954039970106,68,223
17,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.003708017872433139,21,223
17,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.01916469064672801,21,223
17,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.02287270851916115,21,223
18,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0007356184571179943,160,206
18,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.000882445021689739,160,206
18,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0016180634788077331,160,206
18,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0021625974316825444,108,206
18,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0008735855847879305,108,206
18,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.0030361830164704756,108,206
18,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-9.221760310473088e-05,70,206
18,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0019799313943308816,70,206
18,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0020721489974356135,70,206
18,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.012432349519411528,25,206
18,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.005016161791093873,25,206
18,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.007416187728317651,25,206
19,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0007440430999537795,183,226
19,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0010745503399117705,183,226
19,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0018185934398655505,183,226
19,3,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.004129891731484958,121,226
19,3,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0017220137102185737,121,226
19,3,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.002407878021266384,121,226
19,5,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0031273874964148477,80,226
19,5,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,-0.0008978996327463302,80,226
19,5,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0022294878636685165,80,226
19,10,semiconductor_adjusted_return,economic_subsector_peers,convergence,-0.0026552825845991583,29,226
19,10,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,0.0004785398668942499,29,226
19,10,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,-0.0031338224514934083,29,226
20,1,semiconductor_adjusted_return,economic_subsector_peers,convergence,0.0002569739908793466,170,214
20,1,semiconductor_adjusted_return,economic_subsector_peers,peer_catchup,7.904830065996983e-05,170,214
20,1,semiconductor_adjusted_return,economic_subsector_peers,initiator_reversal,0.00017792569021937664,170,214
